root@6b0c533fcceb:/workspaces/linux-study# sar -r 1
Linux 5.15.49-linuxkit (6b0c533fcceb)   06/05/23        _aarch64_       (4 CPU)

14:50:41    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:50:42      2513416   6866720   5627796     69.13    147208   4565304   5898676     64.19   1671144   3604664        20
14:50:43      2511896   6865288   5629316     69.15    147208   4565304   5805444     63.17   1671152   3605536        20
14:50:44      2506812   6860220   5634400     69.21    147208   4565284   5804992     63.17   1671136   3605016        20
14:50:45      2506780   6860228   5634432     69.21    147216   4565320   5907396     64.28   1671180   3605940       116
14:50:46      2501544   6854996   5639668     69.27    147216   4565324   5907396     64.28   1671176   3615936       120
14:50:47      2489196   6842648   5652016     69.42    147216   4565324   5909796     64.31   1671184   3626944       120
14:50:48      2479116   6832600   5662096     69.55    147216   4565324   5907540     64.28   1671180   3636928       120
14:50:49      2468784   6822268   5672428     69.68    147216   4565324   5907540     64.28   1671180   3647308       120
14:50:50      2458064   6811548   5683148     69.81    147224   4565316   5908668     64.30   1671180   3657944       120
14:50:51      2449632   6803124   5691580     69.91    147224   4565324   5907408     64.28   1671188   3668020       120
14:50:52      2439684   6793176   5701528     70.03    147224   4565324   5908336     64.29   1671192   3678060       120
14:50:53      2429732   6783204   5711480     70.16    147224   4565324   5907540     64.28   1671188   3688200       120

14:50:53    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:50:54      2419400   6772872   5721812     70.28    147224   4565324   5907540     64.28   1671188   3698476       120
14:50:55      2407556   6761048   5733656     70.43    147232   4565324   5908668     64.30   1671208   3709104       120
14:50:56      2407556   6761048   5733656     70.43    147232   4565324   5907540     64.28   1671200   3709044       120
14:50:57      2406300   6759792   5734912     70.44    147232   4565324   5908668     64.30   1671208   3709356       120
14:50:58      2406300   6759784   5734912     70.44    147232   4565324   5907540     64.28   1671196   3709136       120
14:50:59      2406300   6759784   5734912     70.44    147232   4565324   5907540     64.28   1671196   3709108       120
14:51:00      2407040   6760532   5734172     70.43    147240   4565324   5908668     64.30   1671208   3709868       120
14:51:01      2407308   6760800   5733904     70.43    147240   4565324   5907700     64.29   1671208   3709116       120
14:51:02      2406788   6760280   5734424     70.44    147240   4565324   5908828     64.30   1671216   3709856       120
14:51:03      2406804   6760276   5734408     70.44    147240   4565324   5907700     64.29   1671212   3709768       120
14:51:04      2406812   6760284   5734400     70.44    147240   4565324   5907700     64.29   1671204   3709804       120
14:51:05      2406560   6760040   5734652     70.44    147248   4565324   5907700     64.29   1671212   3709892       120

14:51:05    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:51:06      2506676   6860140   5634536     69.21    147248   4565308   5804620     63.16   1671204   3607612       120
14:51:07      2504576   6858032   5636636     69.24    147248   4565308   5806876     63.19   1671236   3606696       168
14:51:08      2515700   6869280   5625512     69.10    147248   4565308   5804620     63.16   1671220   3608504       168
^C
Average:      2450975   6804445   5690237     69.89    147229   4565319   5888616     64.08   1671192   3665401       112
