root@6b0c533fcceb:/workspaces/linux-study# sar -B 1
Linux 5.15.49-linuxkit (6b0c533fcceb)   06/05/23        _aarch64_       (4 CPU)

14:53:05     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
14:53:06         0.00      0.00  13541.00      0.00  23596.00      0.00      0.00      0.00      0.00
14:53:07         0.00      0.00   2556.44      0.00   1472.28      0.00      0.00      0.00      0.00
14:53:08         0.00     12.00   2566.00      0.00   1017.00      0.00      0.00      0.00      0.00
14:53:09         0.00      0.00   2402.97      0.00   1477.23      0.00      0.00      0.00      0.00
14:53:10         0.00      8.00   9144.00      0.00   7228.00      0.00      0.00      0.00      0.00
14:53:11         0.00      0.00   7398.00      0.00   5416.00      0.00      0.00      0.00      0.00
14:53:12         0.00      0.00   5960.00      0.00   1694.00      0.00      0.00      0.00      0.00
14:53:13         0.00     48.00   4194.00      0.00    759.00      0.00      0.00      0.00      0.00
14:53:14         0.00      0.00   4930.69      0.00   1475.25      0.00      0.00      0.00      0.00
14:53:15         0.00      0.00   6942.00      0.00   2452.00      0.00      0.00      0.00      0.00
14:53:16         0.00      0.00   3786.14      0.00    771.29      0.00      0.00      0.00      0.00
14:53:17         0.00      0.00   4066.00      0.00   2114.00      0.00      0.00      0.00      0.00

14:53:17     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
14:53:18         0.00     11.88   2686.14      0.00     71.29      0.00      0.00      0.00      0.00
14:53:19         0.00    232.00   5092.00      0.00   1534.00      0.00      0.00      0.00      0.00
14:53:20         0.00      0.00   6233.00      0.00   2188.00      0.00      0.00      0.00      0.00
14:53:21         0.00      0.00   1812.00      0.00    993.00      0.00      0.00      0.00      0.00
14:53:22         0.00      0.00    620.00      0.00  25975.00      0.00      0.00      0.00      0.00
14:53:23         0.00     15.84   2638.61      0.00   1347.52      0.00      0.00      0.00      0.00
14:53:24         0.00      0.00   7756.00      0.00   6475.00      0.00      0.00      0.00      0.00
14:53:25         0.00      0.00   3468.00      0.00   2121.00      0.00      0.00      0.00      0.00
14:53:26         0.00      0.00    775.00      0.00    474.00      0.00      0.00      0.00      0.00
14:53:27         0.00      0.00    134.65      0.00     67.33      0.00      0.00      0.00      0.00
14:53:28         0.00     12.00    158.00      0.00     80.00      0.00      0.00      0.00      0.00
14:53:29         0.00     79.21   2351.49      0.00   1506.93      0.00      0.00      0.00      0.00

14:53:29     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
14:53:30         0.00      0.00   2782.00      0.00   2783.00      0.00      0.00      0.00      0.00
14:53:31         0.00      0.00    339.60      0.00     75.25      0.00      0.00      0.00      0.00
14:53:32         0.00      0.00    215.00      0.00    341.00      0.00      0.00      0.00      0.00
14:53:33         0.00     12.00   8062.00      0.00    359.00      0.00      0.00      0.00      0.00
14:53:34         0.00      0.00   2346.00      0.00   1500.00      0.00      0.00      0.00      0.00
^C

Average:         0.00     14.85   3959.26      0.00   3349.81      0.00      0.00      0.00      0.00
