root@6b0c533fcceb:/workspaces/linux-study# sar -r 1
Linux 5.15.49-linuxkit (6b0c533fcceb)   06/07/23        _aarch64_       (4 CPU)

23:34:44    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:34:45      2410588   6822620   5730624     70.39    199000   4570496   5955800     64.81   1725308   3658180         0
23:34:46      2405992   6818032   5735220     70.45    199000   4570496   5860576     63.77   1725304   3658596         0
23:34:47      2406084   6818124   5735128     70.45    199000   4570496   5858320     63.75   1725300   3658296         0
23:34:48      2406972   6819012   5734240     70.43    199000   4570496   5858320     63.75   1725288   3657708         0
23:34:49      2406868   6818912   5734344     70.44    199008   4570496   5858320     63.75   1725296   3658068         0
23:34:50      2408380   6820428   5732832     70.42    199008   4570496   5860576     63.77   1725316   3659104         0
23:34:51      2408380   6820428   5732832     70.42    199008   4570496   5858320     63.75   1725304   3658780         0
23:34:52      2408380   6820428   5732832     70.42    199008   4570496   5858320     63.75   1725300   3658860         0
23:34:53      2408128   6820188   5733084     70.42    199008   4570496   5858320     63.75   1725300   3658800         0
23:34:54      2407876   6819944   5733336     70.42    199016   4570496   5858320     63.75   1725304   3658460         0
23:34:55      2404104   6816168   5737108     70.47    199016   4570496   5886196     64.05   1725316   3658616         0
23:34:56      2402200   6814268   5739012     70.49    199016   4570496   5860140     63.77   1725324   3661532        72

23:34:56    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:34:57      2403640   6815708   5737572     70.48    199016   4570496   5861268     63.78   1725340   3663944        72
23:34:58      2402664   6814732   5738548     70.49    199016   4570496   5860140     63.77   1725332   3665944        72
23:34:59      2402412   6814476   5738800     70.49    199016   4570496   5860140     63.77   1725328   3666712        72
23:35:00      2400640   6812712   5740572     70.51    199024   4570496   5861268     63.78   1725348   3664136        76
23:35:01      2405276   6817348   5735936     70.46    199024   4570496   5861268     63.78   1725352   3663224        76
23:35:02      2403684   6815792   5737528     70.48    199024   4570496   5860140     63.77   1725348   3661320        76
23:35:03      2402932   6815016   5738280     70.48    199024   4570496   5860140     63.77   1725348   3662672        76
23:35:04      2402320   6814404   5738892     70.49    199024   4570496   5860140     63.77   1725344   3662860        76
23:35:05      2401696   6813780   5739516     70.50    199032   4570496   5861268     63.78   1725348   3664260        76
23:35:06      2401496   6813588   5739716     70.50    199032   4570496   5860140     63.77   1725356   3664728        76
23:35:07      2400748   6812840   5740464     70.51    199032   4570496   5860140     63.77   1725360   3662524        76
23:35:08      2401036   6813124   5740176     70.51    199032   4570496   5860140     63.77   1725356   3662348        76

23:35:08    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:35:09      2402212   6814300   5739000     70.49    199032   4570496   5860140     63.77   1725356   3661020        76
23:35:10      2397968   6810076   5743244     70.55    199040   4570496   5861268     63.78   1725376   3663136        76
23:35:11      2399348   6811456   5741864     70.53    199040   4570496   5860140     63.77   1725372   3664204        76
23:35:12      2398864   6810972   5742348     70.53    199040   4570496   5860140     63.77   1725360   3663032        76
